,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20,Target
2021-09-15,1082.1551513671875,1090.09504087413,1077.6960268089388,1077.6960268089388,9071075,1042.2460021972656,989.2102490234375,1049.7694235220038,75.03564697832125,1136.5752448705318,947.9167595239994,14857814.05,1
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882,1048.2510223388672,991.7401147460937,1055.0161553219916,76.51159511823866,1142.4626263097944,954.03941836794,14897349.7,1
2021-09-17,1087.7288818359375,1117.441211114052,1080.9264609621353,1112.9593400786748,34882133,1053.2083709716796,994.1585009765626,1058.1316530852246,70.0159433989589,1144.591620904215,961.8251210391444,16137663.35,1
2021-09-20,1089.4581298828125,1100.3783514488218,1078.3785593037169,1079.3340516110384,11779819,1058.8072998046875,996.7457006835938,1061.1151270659473,66.83857891376407,1144.178314670158,973.436284939217,16255340.2,1
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,1064.3209045410156,999.5858850097657,1064.2629586214225,69.97950325007352,1143.3272629705848,985.3145461114464,16258407.25,1
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912,1069.9357543945312,1002.8556018066406,1068.2290328747395,71.2982085596092,1143.5611281160518,996.3103806730106,16214979.25,1
2021-09-23,1132.9344482421875,1136.1649964932392,1112.731907489886,1113.596411926489,15748397,1076.4720031738282,1006.5484790039062,1074.391453385925,73.51452656524079,1147.961184674955,1004.9828216727013,16333371.15,1
2021-09-24,1129.6583251953125,1140.009872555042,1124.7897556991463,1139.1453680882423,15192163,1082.21083984375,1010.0338696289062,1079.6549649868189,64.32480329897984,1151.2684980427848,1013.153181644715,16163498.5,1
2021-09-27,1148.655029296875,1151.134928281977,1126.2912870102596,1131.6149158288963,15373834,1088.9689025878906,1014.0238696289063,1086.2263996830147,64.82224950560051,1156.1402118304063,1021.7975933453749,16408158.4,1
2021-09-28,1159.3934326171875,1167.0603586138618,1143.354184437372,1153.0004562253168,18035258,1095.2890258789062,1018.2618518066406,1093.1946885338882,65.67663190881893,1164.0512151471698,1026.5268366106425,16608568.2,1
2021-09-29,1150.2021484375,1169.38083570803,1146.653022546889,1169.38083570803,9719875,1101.4248596191405,1022.0425463867188,1098.6239704294703,63.69182023176746,1166.5147471266594,1036.3349721116217,15770288.8,1
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654,1107.1614196777343,1025.8673754882811,1103.1634913818718,63.180768821227886,1166.2732721325613,1048.0495672229074,15892547.2,1
2021-10-01,1148.3138427734375,1155.6395643825465,1135.2550471541776,1138.417354693103,8958928,1112.3781311035157,1029.7795703125,1107.4635248477352,74.88944985613999,1166.19028499692,1058.5659772101114,15842655.1,1
2021-10-04,1163.0789794921875,1171.587662580675,1154.38820045178,1161.645680951927,10918552,1116.1922729492187,1033.7422705078125,1112.7602348138737,78.01485062088473,1173.0947507171372,1059.2897951813002,14855361.3,1
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634,1120.3692810058594,1038.3242407226562,1119.8513940912726,80.52610148908158,1185.1262887752723,1055.6122732364465,13849957.5,1
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881,1123.0754638671874,1042.7196569824218,1124.1286492485026,67.43014565110369,1190.5854610084841,1055.5654667258907,13495407.45,1
2021-10-07,1170.472900390625,1182.4624681330135,1168.334326130549,1180.7560859021985,6336665,1126.2844360351562,1047.4281213378906,1128.5423874525143,75.79062474555197,1196.483446119106,1056.0854259512064,13097158.15,1
2021-10-08,1215.450927734375,1221.4343385648035,1174.613532001241,1176.3197940015025,15772493,1131.8731201171875,1053.1967639160157,1136.819391288882,80.93157989059064,1211.639146705699,1052.107093528676,13437620.35,1
2021-10-11,1206.987548828125,1237.6326239992216,1203.6660128198464,1229.1694349795048,14768666,1138.2683044433593,1058.6514453125,1143.502072959286,77.19635562602146,1220.6792697945252,1055.8573390921933,13360495.65,1
2021-10-12,1213.881103515625,1220.797380462856,1201.8005463413256,1203.5069288032655,6682011,1145.0786987304687,1064.4073474121094,1150.2048377741753,76.6508584065997,1228.9053942599544,1061.252003200983,13249178.4,1
2021-10-13,1226.234619140625,1237.4051767394146,1214.563508294983,1218.9771386553036,9959762,1152.2826721191407,1070.0717907714843,1157.4457693328848,74.82736823367607,1238.0814718276679,1066.4838724106135,13293612.75,0
2021-10-14,1228.71435546875,1236.4723889341724,1222.7081981299596,1228.6916085198675,8623469,1158.4753845214843,1075.64705078125,1164.2332537267769,76.47120996127836,1247.6738273784258,1069.2769416645428,13052342.1,0
2021-10-18,1231.9906005859375,1249.0079672854492,1211.3784935963072,1214.24509076485,13594479,1165.6884704589843,1081.1422314453125,1170.6863343800303,74.31295776995384,1254.127051780679,1077.2498891372895,11987959.4,0
2021-10-19,1243.024658203125,1251.8974138396732,1232.172677010528,1239.3617971163028,8833409,1173.366796875,1086.5805358886719,1177.5756985536584,74.35719491600746,1260.595781487904,1086.137812262096,11840638.9,0
2021-10-20,1228.71435546875,1247.9841503821117,1224.6647967965337,1247.9841503821117,12710570,1180.0941467285156,1092.14396484375,1182.4460468312864,72.2042242337621,1262.2082025931873,1097.980090863844,11980380.6,0
2021-10-21,1193.26904296875,1241.2728114223185,1184.487275783306,1240.999848015025,20831669,1184.4622619628906,1097.1067822265625,1183.4768083681877,61.275526317794046,1258.8950066175178,1110.0295173082634,12472168.45,0
2021-10-22,1195.4986572265625,1212.56163907253,1188.2639230760203,1192.1315066188683,11027475,1187.5904724121094,1102.015,1184.6217463546996,61.31354131422035,1258.0582051341642,1117.1227396900547,12236122.35,0
2021-10-25,1183.8502197265625,1219.4322268467454,1169.3808726672285,1219.4322268467454,17198417,1190.300067138672,1106.4240661621093,1184.5482676282102,55.05590200895432,1255.3475788003664,1125.2525554769775,12336435.05,0
2021-10-26,1210.8095703125,1214.381442916926,1184.464392150526,1190.8118738257544,9750178,1193.4077941894532,1111.4342004394532,1187.049344074333,55.66474683080531,1255.9693771023528,1130.8462112765535,12055252.25,0
2021-10-27,1195.4986572265625,1217.976256032517,1192.1087596672703,1206.691962726344,9896298,1195.2130554199218,1115.8182434082032,1187.8540405650215,57.642264676887514,1255.6909520722268,1134.735158767617,11648304.25,0
2021-10-28,1182.39404296875,1200.298779292571,1178.708556028044,1192.1313011797697,9886181,1196.8226501464844,1119.6867529296876,1187.334040793948,52.858964615562975,1253.8729794517385,1139.7723208412303,11656619.55,0
2021-10-29,1154.024169921875,1181.2793465543891,1138.3035013133956,1181.2793465543891,14233025,1197.2094116210938,1123.0720422363281,1184.1616721394646,33.99335314834796,1252.9061048117183,1141.5127184304692,11688738.1,0
2021-11-01,1154.7294921875,1163.0107055431893,1134.8454091416836,1154.0242164122978,15481114,1197.5301940917968,1126.3949938964843,1181.3586073821346,35.808761812827264,1252.10373043553,1142.9566577480637,12014847.4,0
2021-11-02,1137.8941650390625,1159.3707786875088,1135.3688922235076,1158.0057208153316,10569130,1196.2709533691407,1129.6032861328124,1177.2191366827944,30.42205715198699,1255.1814879607468,1137.3604187775345,11997376.3,1
2021-11-03,1130.06787109375,1146.6302984409235,1119.7845647630193,1140.2828162204378,11989430,1193.4134765625,1132.52673828125,1172.7285399600282,24.630927032976658,1259.303689219414,1127.5232639055857,11920166.1,1
2021-11-04,1137.0068359375,1139.7596984467234,1132.9800238081948,1134.3222142818038,1705656,1192.0256896972655,1135.3946801757813,1169.3264729102636,26.363386953468527,1261.526975390387,1122.5244040041441,11492504.85,1
2021-11-08,1138.41748046875,1146.630454409684,1117.691636338527,1146.357370619063,20337183,1190.422918701172,1138.1188403320311,1166.3827593444053,25.648364816277308,1263.4081028634514,1117.4377345388925,12192530.75,1
2021-11-09,1147.4039306640625,1150.679973201881,1131.6377653308823,1139.8052450774455,15682497,1187.0205688476562,1140.769287109375,1164.5752518510394,24.8474293050046,1261.423721956089,1112.6174157392236,12188030.95,0
2021-11-10,1160.235107421875,1163.920714976533,1139.1908094185892,1145.1287260147478,10253470,1184.6829467773437,1143.7041137695312,1164.1619047625475,31.845595231160555,1259.3818931232481,1109.9840004314392,11962271.15,0
2021-11-11,1162.35107421875,1169.6084350981216,1153.7057882040397,1155.7533749476677,10722478,1182.1064453125,1146.2913159179689,1163.9894447107574,40.04399384903726,1256.1165338975425,1108.0963567274575,12164294.5,0
2021-11-12,1179.8917236328125,1182.4626105860948,1163.465776749054,1166.1503984605802,8712341,1179.7893005371093,1149.3394409179687,1165.5039474652388,45.42543995236951,1250.824234607383,1108.7543664668356,12101923.45,0
2021-11-15,1172.929931640625,1184.0322480185664,1169.3808058406628,1183.031141558392,4803269,1177.0000793457032,1152.166884765625,1166.2111840533707,46.70872114028304,1244.224939521324,1109.7752191700824,11910913.45,0
2021-11-16,1145.6748046875,1171.6559135252794,1135.255016670807,1170.3136027722971,11337581,1172.6842895507812,1154.2007885742187,1164.2553383994782,30.403891721644655,1236.0145155542027,1109.3540635473596,11798068.55,0
2021-11-17,1121.1497802734375,1137.0524279565616,1119.7847223766223,1137.0524279565616,10202029,1166.5905456542969,1154.887861328125,1160.1500471493791,28.80678053859044,1224.658150786684,1108.5229405219097,11866499.55,1
2021-11-18,1125.3812255859375,1132.5249718442826,1114.8022082606076,1119.3295736996563,8505625,1161.4238891601562,1155.3219409179687,1156.8387308100039,32.88253520073711,1214.3811224828385,1108.466655837474,11656252.3,0
2021-11-22,1075.53466796875,1114.3244768150466,1069.733232783756,1108.4548007788628,24124307,1155.5371704101562,1154.6198559570312,1149.0954867298844,29.126325166343758,1218.767744308362,1092.3065965119506,11820884.2,1
2021-11-23,1085.5904541015625,1092.597718814344,1050.6228528101806,1061.5658216102945,25326999,1150.0417602539062,1154.2057958984376,1143.0473883843301,32.484136708513134,1217.604803790532,1082.4787167172803,12535860.4,1
2021-11-24,1069.9154052734375,1096.5335515396243,1066.343532034508,1082.9287078531015,16820296,1144.34501953125,1153.5305590820312,1136.0824376118642,32.67623895803962,1218.7702512176747,1069.9197878448254,12516954.35,1
2021-11-25,1134.3221435546875,1138.4400635861748,1072.5315589664726,1079.7435455818988,42401936,1140.5206481933594,1154.6353247070313,1135.9147905587997,50.841492477490426,1208.11261593429,1072.9286804524288,14149542.25,0
2021-11-26,1097.761962890625,1127.33768989774,1092.7112978197426,1122.8785658449294,15763138,1135.6338134765624,1155.037099609375,1132.2811879237356,43.051608814917344,1200.5698996411172,1070.6977273120076,14442884.25,0
2021-11-29,1110.911865234375,1137.530130735484,1091.6193215192616,1109.819891228915,24325354,1132.0597045898437,1155.6122338867187,1130.2460143342726,45.32443009449661,1193.956857294199,1070.1625518854885,15164842.9,0
