,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-03-20,1,1,0.7429378,1004.8632202148438,0.0,92298.21487224322,92298.21487224322,87051.47194799242,92298.21487224322
2023-03-21,0,1,0.6897195,1036.1102294921875,0.0,95168.30019169458,95168.30019169458,89758.40568468923,95168.30019169458
2023-03-22,0,1,0.60108757,1039.26025390625,0.0,95457.63472436838,95457.63472436838,90031.29283629343,95457.63472436838
2023-03-23,1,1,0.5934172,1026.1131591796875,0.0,94250.05408094652,94250.05408094652,88892.35778049323,94250.05408094652
2023-03-24,1,1,0.6466948,1005.7989501953124,0.0,92384.16309391384,92384.16309391384,87132.53439560419,92384.16309391384
2023-03-27,1,1,0.6466948,1021.4338989257812,0.0,93820.25691087412,93820.25691087412,88486.9926675745,93820.25691087412
2023-03-28,1,1,0.6466948,1026.2044677734375,0.0,94258.44091413544,94258.44091413544,88900.26785952442,94258.44091413544
2023-03-29,1,1,0.61299413,1020.1329956054688,0.0,93700.76696261972,93700.76696261972,88374.29519132392,93700.76696261972
2023-03-31,1,1,0.5668922,1064.116455078125,0.0,97740.71460083048,97740.71460083048,92184.58977812449,97740.71460083048
2023-04-03,1,1,0.59822065,1064.299072265625,0.0,97757.48826720832,97757.48826720832,92200.40993618687,97757.48826720832
2023-04-05,1,1,0.58155805,1061.74267578125,0.0,97522.67936260632,97522.67936260632,91978.9488732574,97522.67936260632
2023-04-06,1,1,0.64465463,1068.8638916015625,0.0,98176.77386493499,98176.77386493499,92595.8610128867,98176.77386493499
2023-04-10,1,1,0.64465463,1061.2861328125,0.0,97480.74519666174,97480.74519666174,91939.39847810143,97480.74519666174
2023-04-11,1,1,0.64600015,1066.535888671875,0.0,97962.94325564912,97962.94325564912,92394.18572250717,97962.94325564912
2023-04-12,0,1,0.65303814,1071.23779296875,0.0,98394.820315503,98394.820315503,92801.51249272576,98394.820315503
2023-04-13,0,1,0.64465463,1075.27783203125,0.0,98765.90404708107,98765.90404708107,93151.50176494016,98765.90404708107
2023-04-17,0,1,0.65308326,1080.73291015625,0.0,99266.96126839968,99266.96126839968,93624.07611219412,99266.96126839968
2023-04-18,1,1,0.6602724,1068.3619384765625,0.0,98130.66870708362,98130.66870708362,92552.37672815907,98130.66870708362
2023-04-19,1,1,0.74322665,1073.6800537109375,0.0,98619.14567861886,98619.14567861886,93013.08595686624,98619.14567861886
2023-04-20,1,1,0.6427922,1070.9637451171875,0.0,98369.64860359242,98369.64860359242,92777.77168066021,98369.64860359242
2023-04-21,1,1,0.6510273,1072.310546875,0.0,98493.35439312895,98493.35439312895,92894.44534637031,98493.35439312895
2023-04-24,1,1,0.650354,1076.4190673828125,0.0,98870.7282495987,98870.7282495987,93250.3671778581,98870.7282495987
2023-04-25,1,1,0.6683125,1084.6588134765625,0.0,99627.56145849162,99627.56145849162,93964.17778561953,99627.56145849162
2023-04-26,1,1,0.61745846,1078.290771484375,0.0,99042.64711762767,99042.64711762767,93412.5132230256,99042.64711762767
2023-04-27,1,1,0.69439894,1085.1153564453125,0.0,99669.4956244362,99669.4956244362,94003.72818077549,99669.4956244362
2023-04-28,1,1,0.651539,1104.9500732421875,0.0,101491.34452488321,101491.34452488321,95722.0130757788,101491.34452488321
2023-05-02,1,1,0.76242065,1114.3311767578125,0.0,102353.01314863759,102353.01314863759,96534.69967143013,102353.01314863759
2023-05-03,1,1,0.6420305,1104.7674560546875,0.0,101474.57085850538,101474.57085850538,95706.19291771641,101474.57085850538
